"LIST MEAS DATA"

"File name","LIST0022.CSV"

"Model","LCR-6300","REV E8.11"

"Log Time","2024-03-28 00:26:39"

"FREQ[Hz]","LMT","Z(OHM)","Phase-d( )","CMP"
+6.000E+01,-,+1.10307E+08,+1.51754E+02,-
+7.000E+01,-,+5.27411E+06,+1.41192E+02,-
+8.000E+01,-,+8.35528E+06,-2.02165E+01,-
+9.000E+01,-,+3.58523E+06,-1.14609E+02,-
+1.000E+02,-,+6.50666E+06,+1.55239E+02,-
+1.000E+01,-,+1.85334E+08,-6.08769E+01,-
+2.000E+01,-,+6.27924E+06,+4.92479E+01,-
+3.000E+01,-,+4.79490E+06,+8.19504E+01,-
+4.000E+01,-,+1.39663E+06,+1.73382E+02,-
+5.000E+01,-,+1.11060E+06,-1.10444E+02,-
+6.000E+01,-,+5.23170E+07,+7.77487E+00,-
+7.000E+01,-,+6.51306E+06,+4.37052E+01,-
+8.000E+01,-,+7.48585E+06,+9.52142E+01,-
+9.000E+01,-,+1.86271E+06,-4.76860E+01,-
+1.000E+02,-,+6.99822E+06,+3.38648E+01,-
